#,group,date,h_from,h_to,place,gender,individual,age_group,eur,song_order,comment
1,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
2,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
3,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
4,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
5,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
6,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
7,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
8,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,25-49,0.00,3 - 4 - 5 - 1,
9,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,50+,0.00,3 - 4 - 5 - 1,
10,1,13.11.2020,12:10,12:30,Baixa-Chiado,Male,TRUE,50+,0.00,3 - 4 - 5 - 1,
11,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,25-49,0.00,3 - 4 - 5 - 1,
12,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,25-49,0.00,3 - 4 - 5 - 1,
13,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
14,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
15,1,13.11.2020,12:10,12:30,Baixa-Chiado,Couple,FALSE,50+,0.00,3 - 4 - 5 - 1,
16,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,25-49,0.00,2 - 3 - 1 - 4,
17,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,25-49,0.00,2 - 3 - 1 - 4,
18,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,50+,1.00,2 - 3 - 1 - 4,
19,2,13.11.2020,12:40,13:00,Baixa-Chiado,Male,TRUE,50+,0.00,2 - 3 - 1 - 4,
20,2,13.11.2020,12:40,13:00,Baixa-Chiado,Couple,FALSE,50+,0.00,2 - 3 - 1 - 4,
21,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
22,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
23,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
24,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
25,3,13.11.2020,13:10,13:30,Baixa-Chiado,Male,TRUE,25-49,0.00,5 - 4 - 1 - 2,
